dimension,n_points,dataset,method,support_error,volume_ratio,volume_true,volume_approx,membership_acc,runtime_ms,n_vertices,status
2,1000,anisotropic_cond10,DeepHull-convex,0.0,1.0,324.7643092861311,324.7643092861311,1.0,36490.53528904915,1000,ok
2,1000,anisotropic_cond100,Extents,0.0,1.0,3174.4441686778614,3174.4441686778614,1.0,85.17910493537784,12,ok
2,1000,anisotropic_cond100,MVEE,0.0,1.0,3127.608107172778,3127.608107172778,1.0,2238.8664297759533,12,ok
2,1000,anisotropic_cond100,DeepHull-original,10.686385513021264,0.953647833241909,3162.3014860654325,3015.7219602439686,0.9636,22000.819471199065,58,ok
2,1000,anisotropic_cond100,DeepHull-convex,0.0,1.0,3150.158803453004,3150.158803453004,1.0,37774.41974915564,1000,ok
2,1000,gaussian,Extents,0.0,1.0,8.728062843676467,8.728062843676467,1.0,70.67552395164967,13,ok
2,1000,gaussian,MVEE,0.0,1.0,8.805991976209292,8.805991976209292,1.0,2178.6096110008657,13,ok
2,1000,gaussian,DeepHull-original,0.04641054234201525,0.9899815449512259,8.693682344029632,8.60658507825765,0.9914,21069.88412514329,51,ok
2,1000,gaussian,DeepHull-convex,0.0,1.0,8.624921344735963,8.624921344735963,1.0,34923.11262479052,1000,ok
3,200,uniform_cube,Extents,0.0038678890657901643,0.9979060027919963,6.659291859718283,6.645347321156751,0.9978,22.73437613621354,31,ok
3,200,uniform_cube,MVEE,0.007804293377222882,0.9990632318501169,6.615908850860183,6.609711278166168,0.9988,140.5778368934989,31,ok
3,200,uniform_cube,DeepHull-original,0.3066334363632184,0.9762234533702677,6.711971227617403,6.552383730746537,0.9774,5813.919820822775,174,ok
3,200,uniform_cube,DeepHull-convex,0.0,1.0,6.704224261749886,6.704224261749886,1.0,9562.690767925233,200,ok
3,200,anisotropic_cond1,Extents,0.0,1.0,59.00479434487305,59.00479434487305,0.9998,15.745843760669231,24,ok
3,200,anisotropic_cond1,MVEE,0.08631731170423951,0.9949636261891439,55.84828786773736,55.56701501333914,0.9976,148.58160028234124,22,ok
3,200,anisotropic_cond1,DeepHull-original,0.0,1.0,58.72352149047482,58.72352149047482,1.0,5758.105211891234,200,ok
3,200,anisotropic_cond1,DeepHull-convex,0.0,1.0,59.44232989615919,59.44232989615919,1.0,9592.483387794346,200,ok
3,200,anisotropic_cond10,Extents,0.5125881452502368,0.9497487437185929,2769.935724600772,2630.7429746208336,0.9858,22.740328684449196,15,ok
3,200,anisotropic_cond10,MVEE,0.8870895116525297,0.9806629834254141,2879.3014567278665,2823.6243567358906,0.9934,152.2999731823802,14,ok
3,200,anisotropic_cond10,DeepHull-original,0.0,1.0,2728.17789960679,2728.17789960679,1.0,5694.676004815847,198,ok
3,200,anisotropic_cond10,DeepHull-convex,0.0,1.0,2805.7281460241848,2805.7281460241848,1.0,8985.835864208639,200,ok
3,200,anisotropic_cond100,Extents,0.026092716101897118,0.6720711297071129,61236.17484421123,41155.06520649133,0.8774,14.681854285299778,19,ok
3,200,anisotropic_cond100,MVEE,2.4882044436901367,0.8380743982494531,58545.882643942525,49065.80536680523,0.9386,161.7285548709333,20,ok
3,200,anisotropic_cond100,DeepHull-original,0.0,1.0,61684.55687758934,61684.55687758934,1.0,5253.607324324548,195,ok
3,200,anisotropic_cond100,DeepHull-convex,0.0,1.0,60307.38348935655,60307.38348935655,1.0,10034.263036679476,200,ok
3,200,gaussian,Extents,0.0,1.0,14.929365466045626,14.929365466045626,1.0,18.347145058214664,21,ok
3,200,gaussian,MVEE,0.10881390012626668,0.991475759190197,14.97724157122803,14.84957195740829,0.9968,148.8683233037591,19,ok
3,200,gaussian,DeepHull-original,0.0,1.0,14.82563390481709,14.82563390481709,1.0,6665.175874251872,183,ok
3,200,gaussian,DeepHull-convex,0.0,1.0,15.783156008465127,15.783156008465127,1.0,8078.551695682108,200,ok
3,500,uniform_cube,Extents,3.5751968347152996e-05,0.9913538111490329,6.948887244488227,6.888805853068305,0.9948,32.239391934126616,48,ok
3,500,uniform_cube,MVEE,0.0028200945314247328,0.9927748927523142,7.002644278916577,6.952049422984012,0.9934,711.8566343560815,49,ok
3,500,uniform_cube,DeepHull-original,0.9236512924204711,0.5604966139954852,7.00422536816447,3.9258446025174667,0.6038,12650.94477776438,125,ok
3,500,uniform_cube,DeepHull-convex,0.0,1.0,6.975765761702402,6.975765761702402,1.0,20764.234085101634,500,ok
3,500,anisotropic_cond1,Extents,0.017496025736070564,1.0,79.36297416611932,79.36297416611932,1.0,53.45299281179905,29,ok
3,500,anisotropic_cond1,MVEE,0.0827787839709635,0.989713048186248,80.01278017730479,79.18969256313652,0.9954,643.445978872478,25,ok
3,500,anisotropic_cond1,DeepHull-original,0.39596508569139655,0.9726962457337883,76.15726451093765,74.07788527514413,0.991,12134.278478100896,146,ok
3,500,anisotropic_cond1,DeepHull-convex,0.0,1.0,83.04520822950367,83.04520822950367,1.0,18802.206316962838,500,ok
3,500,anisotropic_cond10,Extents,0.04872373797144203,0.9920760697305863,2746.0595076473446,2724.2999235930865,0.9962,21.24434942379594,27,ok
3,500,anisotropic_cond10,MVEE,1.0063469562178007,0.9929542023150478,2882.419567720694,2862.1106226033867,0.9972,738.4454333223403,28,ok
3,500,anisotropic_cond10,DeepHull-original,0.2385160841783529,0.9917355371900828,2808.436981936217,2785.226758945009,0.9972,11864.316856022924,142,ok
3,500,anisotropic_cond10,DeepHull-convex,0.0,1.0,2783.776120008058,2783.776120008058,1.0,19458.162817172706,500,ok
3,500,anisotropic_cond100,Extents,0.4740440291049435,0.6905165114309907,106091.66686134224,73258.04769299288,0.8566,30.23269632831216,17,ok
3,500,anisotropic_cond100,MVEE,1.6299333059053325,0.6000837520938024,107259.4836853875,64364.67341757131,0.8228,810.6791120953858,16,ok
3,500,anisotropic_cond100,DeepHull-original,3.2117425563413065,0.9395368782161235,104744.18591052078,98411.02544165996,0.9682,13460.334687959403,139,ok
3,500,anisotropic_cond100,DeepHull-convex,0.0,1.0,106900.1554318351,106900.1554318351,1.0,20043.40017773211,500,ok
3,500,gaussian,Extents,0.013428767048724644,0.9968668407310703,16.228120524078133,16.17727523784081,0.9988,21.95370802655816,35,ok
3,500,gaussian,MVEE,0.07648813248011987,0.9969727547931383,16.795892887061544,16.745047600824225,0.9994,715.971692930907,33,ok
3,500,gaussian,DeepHull-original,0.3599945435529128,0.954638124362895,16.62640859960381,15.872203520416889,0.982,11731.09527118504,127,ok
3,500,gaussian,DeepHull-convex,0.0,1.0,17.19418096258722,17.19418096258722,1.0,19667.062431108207,500,ok
3,1000,uniform_cube,Extents,0.010346544048116968,0.9910313901345291,7.4633106423099465,7.396375120854252,0.992,80.36360470578074,46,ok
3,1000,uniform_cube,MVEE,0.0055591473936948965,0.9970130147215702,7.4696854538771555,7.447373613391924,0.994,2697.8679201565683,54,ok
3,1000,uniform_cube,DeepHull-original,1.3354112044163302,0.20511182108626197,7.482435077011573,1.5347358848055686,0.248,23667.051760014147,71,ok
3,1000,uniform_cube,DeepHull-convex,0.0,1.0,7.453748424959133,7.453748424959133,1.0,40627.879929263145,1000,ok
3,1000,anisotropic_cond1,Extents,0.007146094551313098,1.0,115.86555445779153,115.86555445779153,0.9998,36.17935162037611,35,ok
3,1000,anisotropic_cond1,MVEE,0.0,1.0,117.11815504652442,117.11815504652442,1.0,3148.6420119181275,37,ok
3,1000,anisotropic_cond1,DeepHull-original,2.30611658203561,0.5328282828282828,112.73405298595935,60.067891868781366,0.8216,23561.727196909487,71,ok
3,1000,anisotropic_cond1,DeepHull-convex,0.0,1.0,114.27133552667696,114.27133552667696,1.0,39757.31811206788,1000,ok
3,1000,anisotropic_cond10,Extents,0.09578663870675985,0.9932038834951457,2928.3945470303306,2908.4928365165324,0.998,72.65938771888614,31,ok
3,1000,anisotropic_cond10,MVEE,0.6300452585720766,0.996166746526114,2966.7764173069418,2955.404011299057,0.9982,2569.6499394252896,35,ok
3,1000,anisotropic_cond10,DeepHull-original,5.932821469713637,0.4854186265286924,3022.21689659538,1467.0403750171365,0.8024,24264.557365328074,74,ok
3,1000,anisotropic_cond10,DeepHull-convex,0.0,1.0,2961.0902143029994,2961.0902143029994,1.0,38536.690924782306,1000,ok
3,1000,anisotropic_cond100,Extents,0.06520319358891324,0.8339498561446773,97617.13587196726,81407.79641768252,0.9302,63.6614840477705,21,ok
3,1000,anisotropic_cond100,MVEE,2.078974242703545,0.884419983065199,94768.46482925881,83815.12405940799,0.9386,2644.527981057763,26,ok
3,1000,anisotropic_cond100,DeepHull-original,25.060163078964155,0.3438818565400844,95089.44184815553,32699.53380010412,0.6896,23179.838839918375,67,ok
3,1000,anisotropic_cond100,DeepHull-convex,0.0,1.0,95731.395885949,95731.395885949,1.0,39624.48942102492,1000,ok
3,1000,gaussian,Extents,0.0,0.9917711598746083,29.426226474282103,29.184082761131666,0.9964,37.37789811566472,30,ok
3,1000,gaussian,MVEE,0.15855378837768264,0.9956227616394745,28.97653100700272,28.84969382392391,0.9972,2628.267240244895,34,ok
3,1000,gaussian,DeepHull-original,1.2105237010613976,0.6155332302936631,29.841329982540003,18.36833024041199,0.7954,22689.155120402575,86,ok
3,1000,gaussian,DeepHull-convex,0.0,1.0,29.241736026167484,29.241736026167484,1.0,40929.80988603085,1000,ok
5,200,uniform_cube,Extents,0.05723626516805225,0.9834786599357501,13.333250949679885,13.112967776578241,0.9954,21.57846884801984,92,ok
5,200,uniform_cube,MVEE,0.11135136817695268,0.9689095127610211,13.186395500945455,12.776424039895181,0.9904,221.38647083193064,86,ok
5,200,uniform_cube,DeepHull-original,0.5854951313436988,0.863119599818099,13.455630490291908,11.613818404080963,0.9438,6857.634504791349,163,ok
5,200,uniform_cube,DeepHull-convex,0.0,1.0,13.04565902924163,13.04565902924163,1.0,8704.299240838736,200,ok
5,200,anisotropic_cond1,Extents,0.12948216017101766,0.9883449883449884,360.88024885161747,356.6741853451884,0.9982,23.273594211786985,63,ok
5,200,anisotropic_cond1,MVEE,0.25552263199145697,0.9711111111111113,378.5457155786197,367.6099504619041,0.998,191.88796263188124,60,ok
5,200,anisotropic_cond1,DeepHull-original,1.769241878438094,0.8090452261306532,334.802655111757,270.87048981403456,0.9802,6256.529872305691,155,ok
5,200,anisotropic_cond1,DeepHull-convex,0.0,1.0,357.5153980464742,357.5153980464742,1.0,9459.977371618152,200,ok
5,200,anisotropic_cond10,Extents,0.6239446152743398,0.8905109489051094,133932.2840120111,119268.16532456463,0.9878,16.631627921015024,47,ok
5,200,anisotropic_cond10,MVEE,0.9460814883876765,0.9630996309963102,132465.87214326643,127577.8325807843,0.997,224.0695171058178,54,ok
5,200,anisotropic_cond10,DeepHull-original,4.606538357357479,0.8657844990548202,129288.64642765306,111936.10598084138,0.9872,6192.990751005709,151,ok
5,200,anisotropic_cond10,DeepHull-convex,0.0,1.0,132710.27412139057,132710.27412139057,1.0,10763.079716358334,200,ok
5,200,anisotropic_cond100,Extents,1.996298547036023,0.6083916083916083,41009329.560071066,24949731.970113166,0.9618,14.86912788823247,27,ok
5,200,anisotropic_cond100,MVEE,11.917326917572716,0.7607223476297968,42347629.35923422,32214788.022713166,0.9796,175.8719510398805,34,ok
